10/16 12:42:33.469  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,3.4.0,PROJECT_ID,11
10/16 12:43:32.606  SPELL_SUMMON,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Creature-0-4459-562-5395-31190-00004BEE66,"Mana Spring Totem VIII",0xa28,0x0,58774,"Mana Spring Totem",0x1
10/16 12:43:32.606  SPELL_CAST_SUCCESS,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,3738,"Wrath of Air Totem",0x1,Player-4476-043F3626,0000000000000000,100,100,334,1933,13722,0,12031,12921,483,6249.54,271.82,0,5.5803,201
10/16 12:43:32.606  SPELL_SUMMON,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Creature-0-4459-562-5395-15447-00004BEE66,"Wrath of Air Totem",0xa28,0x0,3738,"Wrath of Air Totem",0x1
10/16 12:43:32.640  SPELL_AURA_APPLIED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,23214,"Charger",0x2,BUFF
10/16 12:43:32.640  SPELL_CAST_SUCCESS,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,23214,"Charger",0x2,Player-4811-036B0F06,0000000000000000,100,100,1102,2050,19409,0,16238,18109,0,6273.38,245.73,0,2.7214,200
10/16 12:43:33.474  SPELL_AURA_REMOVED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,23214,"Charger",0x2,BUFF
10/16 12:43:33.474  SPELL_CAST_SUCCESS,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,4987,"Cleanse",0x2,Player-4811-036B0F06,0000000000000000,100,100,1102,2050,19409,0,16262,18109,263,6272.28,243.40,0,2.6154,200
10/16 12:43:33.474  SPELL_AURA_REMOVED,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,49233,"Flame Shock",0x4,DEBUFF
10/16 12:43:33.474  SPELL_DISPEL,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,4987,"Cleanse",0x2,49233,"Flame Shock",4,DEBUFF
10/16 12:43:33.474  SPELL_AURA_APPLIED,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,65264,"Lava Flows",0x8,BUFF
10/16 12:43:33.623  SPELL_CAST_FAILED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,4987,"Cleanse",0x2,"Not yet recovered"
10/16 12:43:34.289  SPELL_PERIODIC_HEAL,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,47893,"Fel Armor",0x20,Player-4476-045C7252,0000000000000000,100,100,54,1917,1989,0,13843,14421,0,6217.39,282.11,0,5.6431,204,465,465,465,0,nil
10/16 12:43:35.890  SPELL_CAST_SUCCESS,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,8012,"Purge",0x8,Player-4476-043F3626,0000000000000000,100,100,334,2213,13722,0,11612,12921,351,6249.85,269.20,0,5.2975,201
