8/5 22:01:47.708  SPELL_AURA_APPLIED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,326867,"Rune of Spellwarding",0x20,BUFF,13722
8/5 22:01:47.724  SPELL_CAST_FAILED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,204197,"Purge the Wicked",0x4,"Not yet recovered"
8/5 22:01:47.890  SPELL_CAST_FAILED,Player-3674-05ABF767,"Alexsmite-TwistingNether",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,204197,"Purge the Wicked",0x4,"Not yet recovered"
8/5 22:01:48.008  SPELL_CAST_SUCCESS,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,49184,"Howling Blast",0x10,Player-1623-03573605,0000000000000000,83180,83180,2593,242,1715,37654,5,5,6,1,-2040.65,6663.61,0,1.8517,266
8/5 22:01:48.008  SPELL_ENERGIZE,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,49184,"Howling Blast",0x10,Player-1623-03573605,0000000000000000,83180,83180,2593,242,1715,37654,6,200,1000,0,-2040.65,6663.61,0,1.8517,266,10.0000,0.0000,6,1000
8/5 22:01:48.008  SPELL_AURA_APPLIED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,55095,"Frost Fever",0x10,DEBUFF
8/5 22:01:48.008  SPELL_AURA_APPLIED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Pet-0-3889-1-888-17252-0102E271A3,"Skelraksha",0x1112,0x0,55095,"Frost Fever",0x10,DEBUFF
8/5 22:01:48.008  SPELL_ABSORBED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Pet-0-3889-1-888-17252-0102E271A3,"Skelraksha",0x1112,0x0,49184,"Howling Blast",0x10,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,108366,"Soul Leech",0x20,106,542,nil
8/5 22:01:48.008  SPELL_MISSED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Pet-0-3889-1-888-17252-0102E271A3,"Skelraksha",0x1112,0x0,49184,"Howling Blast",0x10,ABSORB,nil,106,542,nil
8/5 22:01:48.008  SPELL_ABSORBED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,49184,"Howling Blast",0x10,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,108366,"Soul Leech",0x20,648,754,nil
8/5 22:01:48.008  SPELL_MISSED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,49184,"Howling Blast",0x10,ABSORB,nil,648,754,nil
8/5 22:01:48.008  SPELL_HEAL,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,357945,"Condensed Anima Sphere",0x8,Player-3682-0AB897EE,0000000000000000,94100,94100,268,2226,474,13467,0,50000,50000,0,-2040.79,6664.11,0,5.0733,266,2000,2000,2000,0,nil
8/5 22:01:48.108  SWING_MISSED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,ABSORB,nil,1573,2033,nil
8/5 22:01:48.108  SPELL_ABSORBED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,108366,"Soul Leech",0x20,1573,2033,nil
8/5 22:01:48.108  SWING_DAMAGE_LANDED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-3682-0AB897EE,"Messire-Ragnaros",0x512,0x0,Player-3682-0AB897EE,0000000000000000,94100,94100,268,2226,474,11894,0,50000,50000,0,-2041.13,6663.99,0,5.0419,266,0,2033,-1,1,0,0,1573,nil,nil,nil
